REGIDOR,13580,Bolsa Desplazados,2010,Asignados,1,15450000.00
MARIA LA BAJA,13442,Bolsa Concejales,2008,Asignados,1,10153000.00
MOMPOS,13468,Bolsa Concejales,2008,Asignados,2,20075250.00
CARTAGENA,13001,MI CASA YA,2022,Renuncias al subsidio,1,30000000.00
TURBACO,13836,MI CASA YA,2018,Asignados,14,289059540.00
EL CARMEN DE BOLIVAR,13244,Bolsa Desplazados,2005,Asignados,4,35800000.00
SIMITI,13744,Bolsa Ordinaria,2008,Apto con subsidio vencido,5,44750000.00
CARTAGENA,13001,MI CASA YA,2016,Asignados,2,22062560.00
SANTA ROSA,13683,Bolsa Desplazados,2007,Asignados,7,73184000.00
SANTA ROSA DEL SUR,13688,Bolsa Desplazados,2010,Asignado con aplicacion en Vivienda Gratuita,2,30900000.00
CARTAGENA,13001,MI CASA YA,2017,Apto con subsidio vencido,1,14754340.00
TURBACO,13836,MI CASA YA,2018,Asignados,14,296871960.00
TURBACO,13836,MI CASA YA,2018,Asignados,2,39062100.00
CARTAGENA,13001,MI CASA YA,2016,Asignados,17,173742660.00
SAN JUAN NEPOMUCENO,13657,Bolsa Ordinaria,2004,Renuncias al subsidio,2,15036000.00
CARTAGENA,13001,MI CASA YA,2020,Asignados,7,149226510.00
CARTAGENA,13001,MI CASA YA,2018,Asignados,12,203122920.00
EL GUAMO,13248,Bolsa Saludable,2008,Asignados,64,222692309.00
TURBANA,13838,Programa Vivienda Gratuita Fase II,2020,Asignados,8,443870176.00
SAN JUAN NEPOMUCENO,13657,Bolsa Esfuerzo Territorial,2006,Asignados,138,1105331700.00
TURBACO,13836,MI CASA YA,2022,Asignados,4,120000000.00
TURBACO,13836,MI CASA YA,2021,Asignados,7,145364160.00
SAN JACINTO,13654,Bolsa Esfuerzo Territorial,2007,Apto con subsidio vencido,1,9065876.00
SANTA ROSA,13683,Bolsa Desplazados,2009,Asignados,11,163977000.00
TURBACO,13836,MI CASA YA,2020,Asignados,1,26334090.00
CARTAGENA,13001,MI CASA YA,2018,Asignados,1,15624840.00
TURBACO,13836,MI CASA YA,2020,Asignados,6,140448480.00
CARTAGENA,13001,MI CASA YA,2017,Asignados,5,88526040.00
CARTAGENA,13001,MI CASA YA,2021,Asignados,11,263472540.00
CANTAGALLO,13160,Bolsa Desplazados,2010,Asignados,15,231750000.00
CARTAGENA,13001,MI CASA YA,2018,Asignados,2,31249680.00
TURBACO,13836,MI CASA YA,2018,Asignados,7,140623560.00
TURBACO,13836,MI CASA YA,2020,Asignados,4,96558330.00
SANTA ROSA,13683,Bolsa Desplazados,2008,Restitucion SFV por Indemnizacion,1,14907000.00
SAN ESTANISLAO,13647,Bolsa Concejales,2010,Apto con subsidio vencido,2,22660000.00
CARTAGENA,13001,MI CASA YA,2021,Asignados,24,572371380.00
TURBACO,13836,MI CASA YA,2017,Asignados,16,236069440.00
CARTAGENA,13001,Bolsa Desplazados,2010,Apto con subsidio vencido,1,15450000.00
CALAMAR,13140,Bolsa Concejales,2009,Restitucion SFV por Vencimiento Vigencia,2,21863600.00
TURBACO,13836,MI CASA YA,2016,Asignados,1,8273460.00
TURBACO,13836,MI CASA YA,2020,Asignados,4,96558330.00
EL GUAMO,13248,Bolsa Esfuerzo Territorial,2008,Asignados,36,327817044.00
CARTAGENA,13001,MI CASA YA,2017,Asignados,4,41312152.00
CARTAGENA,13001,Bolsa Desplazados,2011,Asignados,25,410475480.00
ZAMBRANO,13894,Bolsa Concejales,2009,Asignados,1,10931800.00
SANTA ROSA,13683,Bolsa Desplazados,2010,Asignados,2,30900000.00
CORDOBA,13212,Bolsa Atentados terroristas,2003,Asignados,1,7636000.00
TURBACO,13836,Bolsa Ordinaria,2004,Asignados,87,654066000.00
CALAMAR,13140,Bolsa Concejales,2011,Apto con subsidio vencido,1,11783200.00
CARTAGENA,13001,MI CASA YA,2016,Asignados,4,44125120.00
